property_id,listing_id,property_type,category,zoopla_year,price_last,num_bed_max,num_floors_max,num_bathrooms_max,num_receptions_max,pcu,latitude,longitude,lad20cd,lad20nm,nearest_station_name,walk_time_to_nearest_station,nearest_station_lines,bike_time_to_nearest_station
5292580,66618804,Semi-detached house,Residential,2024,312,1,0,1,1,CR43AG,51.4021,-0.172698,E09000024,Merton,Colliers Wood,33,Northern,14
5288984,53336921,Flat,Residential,2024,334,1,0,1,1,CR42DA,51.415165,-0.156317,E09000024,Merton,Colliers Wood,30,Northern,10
5294979,66401413,NA,Residential,2024,577,4,0,2,1,CR43HF,51.409386,-0.166041,E09000024,Merton,Colliers Wood,29,Northern,10
5294934,65391822,Flat,Residential,2024,438,3,0,1,1,CR43HD,51.406372,-0.164264,E09000024,Merton,Colliers Wood,32,Northern,17
30068910,67314764,Flat,Residential,2024,300,1,0,1,0,CR44DR,51.39761,-0.173354,E09000024,Merton,Morden,33,Northern,19
30068904,68180056,Maisonette,Residential,2024,381,1,0,1,0,CR41SE,51.40566,-0.155233,E09000024,Merton,Colliers Wood,45,Northern,16
5296432,69634590,Semi-detached house,Residential,2024,161,1,0,1,0,CR43LT,51.4158,-0.169444,E09000024,Merton,Colliers Wood,17,Northern,5
29830021,66027862,Studio,Residential,2024,288,1,0,1,0,CR44LB,51.40217,-0.165869,E09000024,Merton,Colliers Wood,40,Northern,20
30185338,68893272,Flat,Residential,2024,357,1,0,1,1,CR43EE,51.40858,-0.171052,E09000024,Merton,Colliers Wood,25,Northern,13
5301034,67164578,Flat,Residential,2024,208,1,0,5,0,CR44EP,51.398277,-0.170797,E09000024,Merton,Morden,37,Northern,21
29821425,66441536,NA,Residential,2024,173,1,0,1,0,CR43HF,51.409237,-0.166506,E09000024,Merton,Colliers Wood,28,Northern,10
27329705,62365282,Flat,Residential,2024,381,2,0,1,1,CR43BW,51.40832,-0.177596,E09000024,Merton,Colliers Wood,19,Northern,10
30068903,66123228,Flat,Residential,2024,202,1,0,1,0,CR41SL,51.410007,-0.150988,E09000024,Merton,Colliers Wood,45,Northern,16
29821424,65308173,Flat,Residential,2024,392,3,0,1,1,CR41DD,51.402206,-0.147766,E09000024,Merton,Colliers Wood,56,Northern,20
30068905,65844351,Terraced house,Residential,2024,600,3,0,2,1,CR42HZ,51.412556,-0.151036,E09000024,Merton,Colliers Wood,42,Northern,15
7972647,66512530,Flat,Residential,2024,496,1,0,1,1,EC4R0AW,51.51123,-0.08929,E09000001,City of London,Cannon Street,1,"District, Circle",0
32260608,69729069,Flat,Residential,2024,484,1,0,1,1,EC4M7AS,51.5135,-0.101676,E09000001,City of London,Blackfriars,6,"District, Circle",2
29038208,47765782,Flat,Residential,2024,554,2,0,1,1,EC1V9LA,51.5265,-0.08266,E09000012,Hackney,Old Street,7,Northern,4
31275297,68765920,Flat,Residential,2024,575,1,0,1,1,EC4V6DX,51.513412,-0.102655,E09000001,City of London,Blackfriars,4,"District, Circle",2
7956244,60595329,Terraced house,Residential,2024,808,3,0,2,1,EC1M5SZ,51.521717,-0.104967,E09000019,Islington,Farringdon,6,"Metropolitan, Circle, Hammersmith & City",5
30375541,68127280,Studio,Residential,2024,395,0,1,1,1,EC2Y8DQ,51.521374,-0.093767,E09000001,City of London,Barbican,10,"Metropolitan, Circle, Hammersmith & City",7
30944562,61349588,Flat,Residential,2024,923,2,0,2,1,EC4A1DT,51.516083,-0.111276,E09000001,City of London,Chancery Lane,6,Central,4
31886439,63298005,Flat,Residential,2024,900,2,0,2,1,EC1V1AJ,51.529858,-0.096858,E09000019,Islington,Angel,10,Northern,8
7957051,61068998,Flat,Residential,2024,475,1,0,1,1,EC1N7TT,51.52153,-0.109917,E09000007,Camden,Chancery Lane,8,Central,3
30073652,52275438,Flat,Residential,2024,1400,2,0,2,1,EC3R6DT,51.50897,-0.079342,E09000001,City of London,Tower Hill,5,"District, Circle",3
29810299,68408784,Flat,Residential,2024,438,1,0,1,1,EC1N7TS,51.521416,-0.110227,E09000007,Camden,Chancery Lane,8,Central,4
28293882,55017611,Flat,Residential,2024,1800,3,0,3,1,EC4V3PA,51.510586000000004,-0.096682,E09000001,City of London,Mansion House,7,"District, Circle",3
30073604,61069179,NA,Residential,2024,600,2,0,1,1,EC1R1XD,51.53056,-0.10678,E09000019,Islington,Angel,4,Northern,2
7960892,57650129,Flat,Residential,2024,923,2,0,2,1,EC1V0BZ,51.524696,-0.100166,E09000019,Islington,Barbican,14,"Metropolitan, Circle, Hammersmith & City",8
7964341,67567996,Terraced house,Residential,2024,1500,5,0,6,1,EC1V7LN,51.530334,-0.102723,E09000019,Islington,Angel,4,Northern,3
